"Story","Title","Result","Date","Stability","Duration (s)"
"Github is https available story","Is https code visible","SUCCESS","2021-05-08T16:15:31.007+03:00[Europe/Bucharest]","0.0","7.94"
"Github search and access repository story","Search github repo by keyword","SUCCESS","2021-05-08T16:15:15.818+03:00[Europe/Bucharest]","0.0","8.43"
